ID;SABOR;VALOR;ESTADO;TIPO;DATA;FORMA DE PAGAMENTO
1;carne;12;Santa Catarina;frita;11/08/2020;DINHEIRO
2;carne;12;São Paulo;frita;07/07/2021;DINHEIRO
3;frango;11;Minas Gerais;frita;14/09/2018;PIX
4;calabresa;9;Minas Gerais;frita;28/03/2018;DÉBITO
5;pizza;10;São Paulo;assada;23/02/2018;DÉBITO
6;pizza;10;Rio de Janeiro;assada;07/04/2018;DINHEIRO
7;calabresa;9;São Paulo;assada;17/04/2019;DÉBITO
8;pizza;10;Rio de Janeiro;assada;24/03/2021;PIX
9;pizza;10;Rio de Janeiro;frita;01/06/2021;DINHEIRO
10;calabresa;9;Santa Catarina;assada;20/04/2020;DINHEIRO
11;pizza;10;Rio de Janeiro;assada;30/06/2018;PIX
12;carne;12;São Paulo;frita;24/09/2019;DINHEIRO
13;calabresa;9;Santa Catarina;assada;29/05/2021;PIX
14;pizza;10;Santa Catarina;assada;06/05/2018;DINHEIRO
15;pizza;10;Santa Catarina;frita;24/05/2021;PIX
16;carne;12;Minas Gerais;frita;19/03/2019;CRÉDITO
17;frango;11;Santa Catarina;frita;04/04/2019;DINHEIRO
18;frango;11;Santa Catarina;frita;09/09/2018;DINHEIRO
19;carne;12;Minas Gerais;frita;29/10/2019;PIX
20;carne;12;Santa Catarina;assada;03/10/2018;CRÉDITO
21;carne;12;Rio de Janeiro;frita;02/07/2020;DINHEIRO
22;carne;12;Minas Gerais;assada;22/04/2021;DINHEIRO
23;pizza;10;Santa Catarina;frita;23/12/2018;PIX
24;carne;12;Santa Catarina;frita;30/08/2018;DÉBITO
25;carne;12;Rio de Janeiro;assada;13/11/2020;PIX
26;calabresa;9;Santa Catarina;assada;11/06/2019;DÉBITO
27;calabresa;9;Minas Gerais;assada;17/04/2021;CRÉDITO
28;carne;12;Santa Catarina;assada;09/06/2019;PIX
29;carne;12;Santa Catarina;assada;12/05/2019;PIX
30;carne;12;São Paulo;assada;27/06/2021;DINHEIRO
31;frango;11;São Paulo;frita;14/12/2021;CRÉDITO
32;frango;11;Minas Gerais;frita;31/07/2020;CRÉDITO
33;carne;12;Rio de Janeiro;frita;30/06/2019;DINHEIRO
34;pizza;10;Rio de Janeiro;frita;05/10/2019;DÉBITO
35;carne;12;São Paulo;assada;07/12/2021;DÉBITO
36;pizza;10;Santa Catarina;assada;16/12/2021;DINHEIRO
37;calabresa;9;Minas Gerais;assada;07/04/2021;CRÉDITO
38;frango;11;Rio de Janeiro;frita;09/09/2020;CRÉDITO
39;calabresa;9;Minas Gerais;assada;01/12/2021;DINHEIRO
40;pizza;10;Minas Gerais;assada;03/03/2018;DINHEIRO
41;frango;11;Santa Catarina;frita;06/05/2019;DINHEIRO
42;frango;11;Santa Catarina;assada;31/10/2020;CRÉDITO
43;pizza;10;Santa Catarina;frita;27/08/2021;DINHEIRO
44;pizza;10;Rio de Janeiro;assada;28/08/2020;PIX
45;frango;11;São Paulo;assada;23/03/2020;PIX
46;calabresa;9;Santa Catarina;frita;29/09/2021;DINHEIRO
47;frango;11;Minas Gerais;assada;20/10/2019;DÉBITO
48;carne;12;São Paulo;frita;17/06/2020;DINHEIRO
49;carne;12;Minas Gerais;assada;13/03/2019;PIX
50;frango;11;São Paulo;assada;27/01/2018;DÉBITO
51;calabresa;9;Santa Catarina;assada;08/11/2019;CRÉDITO
52;calabresa;9;São Paulo;frita;14/09/2018;DINHEIRO
53;frango;11;Santa Catarina;frita;12/06/2021;DINHEIRO
54;calabresa;9;Santa Catarina;assada;02/02/2018;CRÉDITO
55;pizza;10;Minas Gerais;frita;04/09/2019;CRÉDITO
56;calabresa;9;Rio de Janeiro;assada;17/05/2018;DÉBITO
57;calabresa;9;Rio de Janeiro;frita;23/06/2018;DÉBITO
58;calabresa;9;São Paulo;assada;01/02/2019;CRÉDITO
59;pizza;10;São Paulo;assada;08/03/2018;DÉBITO
60;pizza;10;Santa Catarina;frita;27/12/2021;DÉBITO
61;pizza;10;São Paulo;assada;01/09/2018;DINHEIRO
62;pizza;10;Santa Catarina;assada;25/04/2018;DINHEIRO
63;calabresa;9;Minas Gerais;assada;06/01/2018;PIX
64;pizza;10;Santa Catarina;assada;13/12/2018;CRÉDITO
65;calabresa;9;São Paulo;assada;08/01/2018;DÉBITO
66;pizza;10;Minas Gerais;frita;27/10/2019;CRÉDITO
67;pizza;10;Rio de Janeiro;assada;17/06/2021;DINHEIRO
68;calabresa;9;São Paulo;assada;31/08/2020;PIX
69;frango;11;São Paulo;assada;23/07/2019;DÉBITO
70;pizza;10;São Paulo;frita;20/12/2020;CRÉDITO
71;carne;12;Rio de Janeiro;assada;05/04/2021;DÉBITO
72;calabresa;9;Santa Catarina;frita;28/11/2020;DÉBITO
73;carne;12;Rio de Janeiro;assada;12/05/2021;CRÉDITO
74;frango;11;Rio de Janeiro;frita;16/07/2021;PIX
75;frango;11;Santa Catarina;assada;27/01/2019;DINHEIRO
76;pizza;10;Rio de Janeiro;frita;09/09/2018;CRÉDITO
77;frango;11;Minas Gerais;assada;20/03/2021;CRÉDITO
